gene_id,gene_symbol
ENSG00000185420.19,SMYD3
ENSG00000138796.17,HADH
ENSG00000204128.6,C2orf72
ENSG00000177565.18,TBL1XR1
ENSG00000214274.10,ANG
ENSG00000015520.15,NPC1L1
ENSG00000170425.3,ADORA2B
ENSG00000091409.15,ITGA6
ENSG00000140859.16,KIFC3
ENSG00000087494.16,PTHLH
ENSG00000095321.17,CRAT
ENSG00000113083.15,LOX
ENSG00000147383.11,NSDHL
ENSG00000160183.17,TMPRSS3
ENSG00000166582.10,CENPV
ENSG00000169583.13,CLIC3
ENSG00000128564.7,VGF
ENSG00000144118.14,RALB
ENSG00000171503.12,ETFDH
ENSG00000219073.8,CELA3B
ENSG00000114346.14,ECT2
ENSG00000111832.13,RWDD1
ENSG00000109805.10,NCAPG
ENSG00000172061.9,LRRC15
ENSG00000060140.9,STYK1
ENSG00000035499.13,DEPDC1B
ENSG00000169752.17,NRG4
ENSG00000109255.11,NMU
ENSG00000168772.11,CXXC4
ENSG00000092096.18,SLC22A17
ENSG00000165475.15,CRYL1
ENSG00000114248.10,LRRC31
ENSG00000133019.12,CHRM3
ENSG00000151694.14,ADAM17
ENSG00000173890.17,GPR160
ENSG00000198478.8,SH3BGRL2
ENSG00000173597.9,SULT1B1
ENSG00000079385.23,CEACAM1
ENSG00000196968.11,FUT11
ENSG00000145365.11,TIFA
ENSG00000131746.13,TNS4
ENSG00000174151.15,CYB561D1
ENSG00000158457.6,TSPAN33
ENSG00000150093.20,ITGB1
ENSG00000089127.14,OAS1
ENSG00000122188.13,LAX1
ENSG00000054148.18,PHPT1
ENSG00000154832.15,CXXC1
ENSG00000153002.12,CPB1
ENSG00000102934.10,PLLP
ENSG00000171033.13,PKIA
ENSG00000158470.5,B4GALT5
ENSG00000102265.12,TIMP1
ENSG00000110492.15,MDK
ENSG00000136478.8,TEX2
ENSG00000105854.13,PON2
ENSG00000116833.14,NR5A2
ENSG00000156535.15,CD109
ENSG00000163558.13,PRKCI
ENSG00000180745.5,CLRN3
ENSG00000130653.16,PNPLA7
ENSG00000133703.13,KRAS
ENSG00000123374.11,CDK2
ENSG00000157103.12,SLC6A1
ENSG00000150782.12,IL18
ENSG00000104946.13,TBC1D17
ENSG00000065135.12,GNAI3
ENSG00000170006.12,TMEM154
ENSG00000136870.10,ZNF189
ENSG00000115963.13,RND3
ENSG00000088367.23,EPB41L1
ENSG00000074800.16,ENO1
ENSG00000140675.13,SLC5A2
ENSG00000152104.12,PTPN14
ENSG00000141030.13,COPS3
ENSG00000087495.17,PHACTR3
ENSG00000163412.13,EIF4E3
ENSG00000120896.13,SORBS3
ENSG00000163888.4,CAMK2N2
ENSG00000123353.10,ORMDL2
ENSG00000203780.12,FANK1
ENSG00000168350.8,DEGS2
ENSG00000157224.16,CLDN12
ENSG00000154265.16,ABCA5
ENSG00000173848.19,NET1
ENSG00000180921.7,FAM83H
ENSG00000183742.13,MACC1
ENSG00000101213.7,PTK6
ENSG00000103222.20,ABCC1
ENSG00000170323.9,FABP4
ENSG00000172367.16,PDZD3
ENSG00000003096.14,KLHL13
ENSG00000070193.5,FGF10
ENSG00000172927.8,MYEOV
ENSG00000100473.18,COCH
ENSG00000090060.18,PAPOLA
ENSG00000175497.17,DPP10
ENSG00000134627.12,PIWIL4
ENSG00000118242.16,MREG
ENSG00000109654.16,TRIM2
ENSG00000114770.17,ABCC5
ENSG00000123892.12,RAB38
ENSG00000178537.10,SLC25A20
ENSG00000066405.13,CLDN18
ENSG00000115386.6,REG1A
ENSG00000071655.18,MBD3
ENSG00000150991.15,UBC
ENSG00000167286.10,CD3D
ENSG00000152766.6,ANKRD22
ENSG00000137801.11,THBS1
ENSG00000106546.14,AHR
ENSG00000117475.14,BLZF1
ENSG00000177303.10,CASKIN2
ENSG00000172216.6,CEBPB
ENSG00000140279.13,DUOX2
ENSG00000013275.8,PSMC4
ENSG00000005882.12,PDK2
ENSG00000148082.10,SHC3
ENSG00000137273.6,FOXF2
ENSG00000204616.11,TRIM31
ENSG00000161920.11,MED11
ENSG00000163817.16,SLC6A20
ENSG00000204262.14,COL5A2
ENSG00000112079.9,STK38
ENSG00000158158.12,CNNM4
ENSG00000143079.15,CTTNBP2NL
ENSG00000175538.11,KCNE3
ENSG00000123975.5,CKS2
ENSG00000171714.12,ANO5
ENSG00000143954.13,REG3G
ENSG00000134508.12,CABLES1
ENSG00000158458.21,NRG2
ENSG00000187266.14,EPOR
ENSG00000196083.10,IL1RAP
ENSG00000122565.19,CBX3
ENSG00000213918.10,DNASE1
ENSG00000122729.19,ACO1
ENSG00000170801.10,HTRA3
ENSG00000118418.14,HMGN3
ENSG00000138472.11,GUCA1C
ENSG00000139055.7,ERP27
ENSG00000122861.16,PLAU
ENSG00000170312.16,CDK1
ENSG00000024526.17,DEPDC1
ENSG00000168748.14,CA7
ENSG00000135698.10,MPHOSPH6
ENSG00000213186.8,TRIM59
ENSG00000100985.7,MMP9
ENSG00000172116.23,CD8B
ENSG00000049769.14,PPP1R3F
ENSG00000165841.11,CYP2C19
ENSG00000121552.4,CSTA
ENSG00000182240.16,BACE2
ENSG00000173715.18,C11orf80
ENSG00000275410.5,HNF1B
ENSG00000177606.8,JUN
ENSG00000103460.17,TOX3
ENSG00000178623.12,GPR35
ENSG00000137804.14,NUSAP1
ENSG00000075239.14,ACAT1
ENSG00000116871.15,MAP7D1
ENSG00000186184.19,POLR1D
ENSG00000159128.15,IFNGR2
ENSG00000042493.16,CAPG
ENSG00000101670.12,LIPG
ENSG00000149577.16,SIDT2
ENSG00000143297.19,FCRL5
ENSG00000131389.17,SLC6A6
ENSG00000139540.12,SLC39A5
ENSG00000165661.17,QSOX2
ENSG00000059728.11,MXD1
ENSG00000169856.9,ONECUT1
ENSG00000119866.22,BCL11A
ENSG00000138772.13,ANXA3
ENSG00000168484.12,SFTPC
ENSG00000174775.17,HRAS
ENSG00000134057.15,CCNB1
ENSG00000101076.17,HNF4A
ENSG00000153976.3,HS3ST3A1
ENSG00000178035.13,IMPDH2
ENSG00000165915.14,SLC39A13
ENSG00000142677.4,IL22RA1
ENSG00000131941.8,RHPN2
ENSG00000171522.6,PTGER4
ENSG00000006652.15,IFRD1
ENSG00000148737.17,TCF7L2
ENSG00000189221.10,MAOA
ENSG00000121351.8,IAPP
ENSG00000142611.17,PRDM16
ENSG00000157601.14,MX1
ENSG00000100997.20,ABHD12
ENSG00000136448.13,NMT1
ENSG00000120756.13,PLS1
ENSG00000102804.15,TSC22D1
ENSG00000133878.9,DUSP26
ENSG00000204385.13,SLC44A4
ENSG00000099308.10,MAST3
ENSG00000185215.11,TNFAIP2
ENSG00000076356.7,PLXNA2
ENSG00000128242.13,GAL3ST1
ENSG00000198959.12,TGM2
ENSG00000144063.4,MALL
ENSG00000198851.10,CD3E
ENSG00000188338.15,SLC38A3
ENSG00000185920.16,PTCH1
ENSG00000077274.9,CAPN6
ENSG00000172071.14,EIF2AK3
ENSG00000128610.12,FEZF1
ENSG00000074590.13,NUAK1
ENSG00000076003.5,MCM6
ENSG00000141510.18,TP53
ENSG00000134827.8,TCN1
ENSG00000087053.20,MTMR2
ENSG00000135077.9,HAVCR2
ENSG00000136840.19,ST6GALNAC4
ENSG00000139734.19,DIAPH3
ENSG00000115159.16,GPD2
ENSG00000204866.8,IGFL2
ENSG00000170522.10,ELOVL6
ENSG00000168404.13,MLKL
ENSG00000165238.16,WNK2
ENSG00000154127.10,UBASH3B
ENSG00000172197.11,MBOAT1
ENSG00000100348.10,TXN2
ENSG00000244242.2,IFITM10
ENSG00000165496.5,RPL10L
ENSG00000013392.8,RWDD2A
ENSG00000100604.13,CHGA
ENSG00000060718.22,COL11A1
ENSG00000147010.18,SH3KBP1
ENSG00000187021.15,PNLIPRP1
ENSG00000149554.13,CHEK1
ENSG00000104903.5,LYL1
ENSG00000103056.12,SMPD3
ENSG00000135899.19,SP110
ENSG00000166535.20,A2ML1
ENSG00000005884.18,ITGA3
ENSG00000136231.14,IGF2BP3
ENSG00000105948.13,TTC26
ENSG00000169738.8,DCXR
ENSG00000131724.11,IL13RA1
ENSG00000176014.13,TUBB6
ENSG00000161800.13,RACGAP1
ENSG00000197822.11,OCLN
ENSG00000165512.5,ZNF22
ENSG00000139211.7,AMIGO2
ENSG00000101460.13,MAP1LC3A
ENSG00000184371.14,CSF1
ENSG00000198758.11,EPS8L3
ENSG00000160712.13,IL6R
ENSG00000008083.14,JARID2
ENSG00000104892.17,KLC3
ENSG00000168785.8,TSPAN5
ENSG00000004864.14,SLC25A13
ENSG00000171862.11,PTEN
ENSG00000166750.10,SLFN5
ENSG00000100445.17,SDR39U1
ENSG00000166068.13,SPRED1
ENSG00000164379.7,FOXQ1
ENSG00000132470.14,ITGB4
ENSG00000026508.20,CD44
ENSG00000145860.12,RNF145
ENSG00000164171.11,ITGA2
ENSG00000185947.15,ZNF267
ENSG00000162704.16,ARPC5
ENSG00000121417.14,ZNF211
ENSG00000103260.9,METRN
ENSG00000146374.14,RSPO3
ENSG00000183605.17,SFXN4
ENSG00000130558.20,OLFM1
ENSG00000171241.9,SHCBP1
ENSG00000157368.11,IL34
ENSG00000058404.20,CAMK2B
ENSG00000134193.15,REG4
ENSG00000138185.20,ENTPD1
ENSG00000141736.14,ERBB2
ENSG00000177054.14,ZDHHC13
ENSG00000146039.11,SLC17A4
ENSG00000204099.12,NEU4
ENSG00000167751.13,KLK2
ENSG00000143514.17,TP53BP2
ENSG00000165304.8,MELK
ENSG00000176853.16,FAM91A1
ENSG00000185963.14,BICD2
ENSG00000162511.8,LAPTM5
ENSG00000106018.14,VIPR2
ENSG00000070669.17,ASNS
ENSG00000275832.5,ARHGAP23
ENSG00000135447.17,PPP1R1A
ENSG00000203697.12,CAPN8
ENSG00000134020.8,PEBP4
ENSG00000170542.6,SERPINB9
ENSG00000149948.14,HMGA2
ENSG00000169855.20,ROBO1
ENSG00000184232.9,OAF
ENSG00000004961.15,HCCS
ENSG00000057149.16,SERPINB3
ENSG00000145284.12,SCD5
ENSG00000169347.17,GP2
ENSG00000138190.17,EXOC6
ENSG00000174442.12,ZWILCH
ENSG00000150753.12,CCT5
ENSG00000100558.9,PLEK2
ENSG00000163431.13,LMOD1
ENSG00000069764.10,PLA2G10
ENSG00000141258.13,SGSM2
ENSG00000162745.10,OLFML2B
ENSG00000185885.16,IFITM1
ENSG00000123219.13,CENPK
ENSG00000131378.14,RFTN1
ENSG00000140575.13,IQGAP1
ENSG00000169469.9,SPRR1B
ENSG00000107829.15,FBXW4
ENSG00000158315.11,RHBDL2
ENSG00000010310.9,GIPR
ENSG00000102854.16,MSLN
ENSG00000101098.13,RIMS4
ENSG00000170558.10,CDH2
ENSG00000197965.12,MPZL1
ENSG00000132356.11,PRKAA1
ENSG00000129173.13,E2F8
ENSG00000087460.27,GNAS
ENSG00000143333.7,RGS16
ENSG00000187699.10,C2orf88
ENSG00000115884.11,SDC1
ENSG00000108582.12,CPD
ENSG00000104881.16,PPP1R13L
ENSG00000145386.11,CCNA2
ENSG00000128266.9,GNAZ
ENSG00000165644.11,COMTD1
ENSG00000166387.13,PPFIBP2
ENSG00000123191.16,ATP7B
ENSG00000147459.18,DOCK5
ENSG00000206073.11,SERPINB4
ENSG00000106624.11,AEBP1
ENSG00000173320.12,STOX2
ENSG00000112715.25,VEGFA
ENSG00000163599.17,CTLA4
ENSG00000100504.17,PYGL
ENSG00000184979.10,USP18
ENSG00000167088.11,SNRPD1
ENSG00000164124.11,TMEM144
ENSG00000086848.15,ALG9
ENSG00000116406.19,EDEM3
ENSG00000064651.14,SLC12A2
ENSG00000149260.18,CAPN5
ENSG00000188761.13,BCL2L15
ENSG00000169282.18,KCNAB1
ENSG00000242173.10,ARHGDIG
ENSG00000164574.16,GALNT10
ENSG00000170855.4,TRIAP1
ENSG00000131067.17,GGT7
ENSG00000101333.17,PLCB4
ENSG00000151491.14,EPS8
ENSG00000108405.4,P2RX1
ENSG00000156110.15,ADK
ENSG00000176894.10,PXMP2
ENSG00000119408.17,NEK6
ENSG00000189334.9,S100A14
ENSG00000102699.6,PARP4
ENSG00000120334.15,CENPL
ENSG00000125753.14,VASP
ENSG00000135114.12,OASL
ENSG00000136068.15,FLNB
ENSG00000013375.16,PGM3
ENSG00000280165.1,PCDH20
ENSG00000048462.11,TNFRSF17
ENSG00000187240.16,DYNC2H1
ENSG00000100503.26,NIN
ENSG00000167074.15,TEF
ENSG00000170293.9,CMTM8
ENSG00000148346.12,LCN2
ENSG00000012779.11,ALOX5
ENSG00000133315.12,MACROD1
ENSG00000137699.17,TRIM29
ENSG00000180884.10,ZNF792
ENSG00000148218.16,ALAD
ENSG00000121900.19,TMEM54
ENSG00000172057.10,ORMDL3
ENSG00000180879.14,SSR4
ENSG00000112699.11,GMDS
ENSG00000052795.13,FNIP2
ENSG00000167815.12,PRDX2
ENSG00000170835.16,CEL
ENSG00000110777.12,POU2AF1
ENSG00000105664.11,COMP
ENSG00000197329.12,PELI1
ENSG00000103018.17,CYB5B
ENSG00000095002.15,MSH2
ENSG00000211448.13,DIO2
ENSG00000153902.14,LGI4
ENSG00000072778.20,ACADVL
ENSG00000101311.16,FERMT1
ENSG00000107104.20,KANK1
ENSG00000086548.9,CEACAM6
ENSG00000154274.15,C4orf19
ENSG00000137710.17,RDX
ENSG00000153563.16,CD8A
ENSG00000068137.15,PLEKHH3
ENSG00000185567.7,AHNAK2
ENSG00000077152.11,UBE2T
ENSG00000138771.16,SHROOM3
ENSG00000115361.8,ACADL
ENSG00000161638.11,ITGA5
ENSG00000175054.16,ATR
ENSG00000174156.15,GSTA3
ENSG00000182718.18,ANXA2
ENSG00000041357.16,PSMA4
ENSG00000100448.4,CTSG
ENSG00000128203.7,ASPHD2
ENSG00000123610.5,TNFAIP6
ENSG00000146425.11,DYNLT1
ENSG00000077721.16,UBE2A
ENSG00000169299.14,PGM2
ENSG00000196581.11,AJAP1
ENSG00000196260.5,SFTA2
ENSG00000137936.18,BCAR3
ENSG00000262406.3,MMP12
ENSG00000142669.15,SH3BGRL3
ENSG00000125798.15,FOXA2
ENSG00000132677.13,RHBG
ENSG00000000460.17,C1orf112
ENSG00000162909.18,CAPN2
ENSG00000196547.15,MAN2A2
ENSG00000141756.19,FKBP10
ENSG00000108511.10,HOXB6
ENSG00000078967.13,UBE2D4
ENSG00000138119.17,MYOF
ENSG00000134882.16,UBAC2
ENSG00000076826.10,CAMSAP3
ENSG00000101003.10,GINS1
ENSG00000102172.16,SMS
ENSG00000183765.23,CHEK2
ENSG00000070190.13,DAPP1
ENSG00000103942.13,HOMER2
ENSG00000167874.7,TMEM88
ENSG00000155961.5,RAB39B
ENSG00000105643.10,ARRDC2
ENSG00000054277.14,OPN3
ENSG00000149218.5,ENDOD1
ENSG00000111335.13,OAS2
ENSG00000134463.15,ECHDC3
ENSG00000137809.17,ITGA11
ENSG00000124602.10,UNC5CL
ENSG00000134058.12,CDK7
ENSG00000166851.15,PLK1
ENSG00000117586.11,TNFSF4
ENSG00000204610.13,TRIM15
ENSG00000164694.17,FNDC1
ENSG00000039068.19,CDH1
ENSG00000176533.13,GNG7
ENSG00000065361.16,ERBB3
ENSG00000115414.21,FN1
ENSG00000159363.19,ATP13A2
ENSG00000002834.18,LASP1
ENSG00000090989.18,EXOC1
ENSG00000171105.14,INSR
ENSG00000077147.16,TM9SF3
ENSG00000169035.12,KLK7
ENSG00000179104.9,TMTC2
ENSG00000088986.11,DYNLL1
ENSG00000176454.14,LPCAT4
ENSG00000117122.14,MFAP2
ENSG00000165092.13,ALDH1A1
ENSG00000198208.12,RPS6KL1
ENSG00000150054.18,MPP7
ENSG00000162882.15,HAAO
ENSG00000104368.19,PLAT
ENSG00000131747.15,TOP2A
ENSG00000158014.15,SLC30A2
ENSG00000126010.6,GRPR
ENSG00000179431.7,FJX1
ENSG00000168309.18,FAM107A
ENSG00000184012.13,TMPRSS2
ENSG00000124429.18,POF1B
ENSG00000078098.14,FAP
ENSG00000154639.19,CXADR
ENSG00000089472.16,HEPH
ENSG00000111907.21,TPD52L1
ENSG00000121621.7,KIF18A
ENSG00000165795.23,NDRG2
ENSG00000187908.20,DMBT1
ENSG00000072210.19,ALDH3A2
ENSG00000159307.19,SCUBE1
ENSG00000080986.13,NDC80
ENSG00000065717.15,TLE2
ENSG00000099875.15,MKNK2
ENSG00000123453.18,SARDH
ENSG00000104856.14,RELB
ENSG00000166313.19,APBB1
ENSG00000004799.8,PDK4
ENSG00000174358.16,SLC6A19
ENSG00000187193.9,MT1X
ENSG00000149654.11,CDH22
ENSG00000068615.19,REEP1
ENSG00000113594.10,LIFR
ENSG00000151746.15,BICD1
ENSG00000162814.11,SPATA17
ENSG00000164932.13,CTHRC1
ENSG00000114455.13,HHLA2
ENSG00000170608.3,FOXA3
ENSG00000099834.19,CDHR5
ENSG00000169100.14,SLC25A6
ENSG00000118985.16,ELL2
ENSG00000167972.14,ABCA3
ENSG00000147168.13,IL2RG
ENSG00000165078.13,CPA6
ENSG00000120708.17,TGFBI
ENSG00000105655.19,ISYNA1
ENSG00000185591.10,SP1
ENSG00000151116.17,UEVLD
ENSG00000168374.11,ARF4
ENSG00000106031.9,HOXA13
ENSG00000133805.15,AMPD3
ENSG00000181234.9,TMEM132C
ENSG00000165516.11,KLHDC2
ENSG00000185156.6,MFSD6L
ENSG00000115009.13,CCL20
ENSG00000102024.18,PLS3
ENSG00000166825.15,ANPEP
ENSG00000109321.11,AREG
ENSG00000146674.15,IGFBP3
ENSG00000133065.11,SLC41A1
ENSG00000070214.16,SLC44A1
ENSG00000154930.15,ACSS1
ENSG00000085276.19,MECOM
ENSG00000011422.12,PLAUR
ENSG00000107984.10,DKK1
ENSG00000175785.13,PRIMA1
ENSG00000204176.14,SYT15
ENSG00000138798.13,EGF
ENSG00000125818.18,PSMF1
ENSG00000176890.16,TYMS
ENSG00000169876.14,MUC17
ENSG00000100422.14,CERK
ENSG00000102359.8,SRPX2
ENSG00000121310.17,ECHDC2
ENSG00000080493.18,SLC4A4
ENSG00000126749.16,EMG1
ENSG00000123609.11,NMI
ENSG00000141446.11,ESCO1
ENSG00000121281.13,ADCY7
ENSG00000136155.17,SCEL
ENSG00000014216.16,CAPN1
ENSG00000080709.16,KCNN2
ENSG00000137501.17,SYTL2
ENSG00000076555.15,ACACB
ENSG00000134285.11,FKBP11
ENSG00000160194.18,NDUFV3
ENSG00000116183.11,PAPPA2
ENSG00000233041.8,PHGR1
ENSG00000136720.7,HS6ST1
ENSG00000186918.14,ZNF395
ENSG00000225614.4,ZNF469
ENSG00000170310.15,STX8
ENSG00000151552.12,QDPR
ENSG00000173083.15,HPSE
ENSG00000175970.11,UNC119B
ENSG00000076554.15,TPD52
ENSG00000163840.10,DTX3L
ENSG00000175564.13,UCP3
ENSG00000204613.11,TRIM10
ENSG00000152270.9,PDE3B
ENSG00000150712.11,MTMR12
ENSG00000145247.12,OCIAD2
ENSG00000154734.16,ADAMTS1
ENSG00000160179.19,ABCG1
ENSG00000116106.12,EPHA4
ENSG00000169116.11,PARM1
ENSG00000157764.14,BRAF
ENSG00000178222.13,RNF212
ENSG00000114166.8,KAT2B
ENSG00000162437.14,RAVER2
ENSG00000101940.18,WDR13
ENSG00000197056.11,ZMYM1
ENSG00000124731.13,TREM1
ENSG00000112242.15,E2F3
ENSG00000164466.13,SFXN1
ENSG00000025423.11,HSD17B6
ENSG00000185630.19,PBX1
ENSG00000135070.15,ISCA1
ENSG00000107159.13,CA9
ENSG00000103365.15,GGA2
ENSG00000132031.13,MATN3
ENSG00000173852.15,DPY19L1
